StaffID,StaffFirstName,StaffLastName,StaffEmail,StaffPhoneNumber,StaffAddress,StaffDOB
89,Sophia,Johnson,sophia.johnson@biltongbites.co.nz,027-214-7845,191 Martin Road Mount Eden,09/02/1973
90,James,Wilson,james.wilson@biltongbites.co.nz,027-374-2707,130 Lopez Road Henderson,28/10/1996
91,Ava,Williams,ava.williams@biltongbites.co.nz,027-269-3889,73 Williams Place Manukau,13/02/1983
92,William,Williams,william.williams@biltongbites.co.nz,027-261-5976,118 Rodriguez Avenue Grey Lynn,01/02/1971
93,Ava,Wilson,ava.wilson@biltongbites.co.nz,027-566-8976,80 Wilson Drive Riccarton,17/01/1983
94,Elijah,Davis,elijah.davis@biltongbites.co.nz,027-822-7556,158 Johnson Road Remuera,06/08/1963
95,Sophia,Taylor,sophia.taylor@biltongbites.co.nz,027-419-2225,179 Miller Place Manukau,20/08/1987
96,William,Rodriguez,william.rodriguez@biltongbites.co.nz,027-626-9459,131 Taylor Street Manukau,24/11/1962
97,Oliver,Martin,oliver.martin@biltongbites.co.nz,027-256-8308,88 Jones Court Ponsonby,09/03/1985
98,Alexander,Johnson,alexander.johnson@biltongbites.co.nz,027-727-1365,94 Martin Court Newmarket,24/02/2000
99,Henry,Davis,henry.davis@biltongbites.co.nz,027-586-9928,56 Williams Avenue Te Aro,21/10/1967
100,Mia,Taylor,mia.taylor@biltongbites.co.nz,027-184-3345,34 Wilson Drive Newmarket,06/05/1972
101,Isabella,Rodriguez,isabella.rodriguez@biltongbites.co.nz,027-284-3925,4 Johnson Avenue Newmarket,06/11/2003
102,Sophia,Williams,sophia.williams@biltongbites.co.nz,027-712-3140,82 Brown Crescent Remuera,11/04/1977
103,Alexander,Moore,alexander.moore@biltongbites.co.nz,027-867-4464,150 Johnson Crescent Newmarket,23/01/2008
104,Harper,Garcia,harper.garcia@biltongbites.co.nz,027-303-9656,162 Johnson Avenue Newmarket,01/08/1963
105,Noah,Jones,noah.jones@biltongbites.co.nz,027-592-9568,93 Brown Avenue Albany,21/03/1978
106,Henry,Miller,henry.miller@biltongbites.co.nz,027-927-5176,187 Garcia Crescent Mount Eden,26/09/1974
107,William,Moore,william.moore@biltongbites.co.nz,027-969-6149,28 Jackson Road Ponsonby,18/11/1997
108,Isabella,Taylor,isabella.taylor@biltongbites.co.nz,027-290-4049,120 Moore Street Karori,24/04/2001
109,Liam,Jones,liam.jones@biltongbites.co.nz,027-537-6601,171 Moore Avenue Manukau,09/01/1968
110,Isabella,Taylor,isabella.taylor@biltongbites.co.nz,027-467-1649,239 Wilson Drive Mount Eden,11/12/1968
111,Charlotte,Thomas,charlotte.thomas@biltongbites.co.nz,027-848-4125,33 Anderson Street Te Aro,21/11/2004
112,Lucas,Jackson,lucas.jackson@biltongbites.co.nz,027-421-7204,68 Martinez Crescent Riccarton,27/12/1966
113,Amelia,Martin,amelia.martin@biltongbites.co.nz,027-709-3722,38 Anderson Drive Riccarton,07/11/1999
114,Harper,Miller,harper.miller@biltongbites.co.nz,027-405-7019,143 Johnson Street Remuera,28/03/1982
115,Liam,Lopez,liam.lopez@biltongbites.co.nz,027-379-9200,184 Davis Place Albany,13/06/1987
116,William,Davis,william.davis@biltongbites.co.nz,027-621-5904,177 Martinez Place Papatoetoe,12/03/1971
117,William,Martin,william.martin@biltongbites.co.nz,027-643-4427,42 Moore Street Albany,23/04/1994
118,Amelia,Gonzalez,amelia.gonzalez@biltongbites.co.nz,027-440-4380,250 Moore Road Papatoetoe,14/10/1989
119,Benjamin,Moore,benjamin.moore@biltongbites.co.nz,027-450-9168,227 Jackson Drive Ponsonby,25/12/2005
120,Harper,Garcia,harper.garcia@biltongbites.co.nz,027-517-5286,53 Williams Crescent Riccarton,01/01/1969
121,Isabella,Moore,isabella.moore@biltongbites.co.nz,027-938-9917,126 Jones Street Remuera,13/05/1969
122,Henry,Davis,henry.davis@biltongbites.co.nz,027-428-1384,225 Brown Crescent Te Aro,10/06/2001
123,Sophia,Miller,sophia.miller@biltongbites.co.nz,027-103-8910,211 Jackson Drive Papatoetoe,16/02/1995
124,Olivia,Williams,olivia.williams@biltongbites.co.nz,027-364-1953,220 Martin Drive Remuera,24/12/1968
125,Noah,Gonzalez,noah.gonzalez@biltongbites.co.nz,027-692-2648,143 Brown Crescent Karori,15/02/1987
126,Lucas,Davis,lucas.davis@biltongbites.co.nz,027-905-3161,153 Anderson Court Henderson,11/04/1973
127,Ava,Moore,ava.moore@biltongbites.co.nz,027-592-6861,69 Smith Avenue Grey Lynn,22/07/1977
128,Liam,Gonzalez,liam.gonzalez@biltongbites.co.nz,027-323-6807,205 Miller Road Albany,11/05/1980
129,Lucas,Martin,lucas.martin@biltongbites.co.nz,027-658-1512,249 Johnson Place Manukau,13/11/1986
130,Noah,Gonzalez,noah.gonzalez@biltongbites.co.nz,027-429-7201,241 Williams Court Grey Lynn,04/05/1979
131,Harper,Martin,harper.martin@biltongbites.co.nz,027-885-2629,167 Davis Drive Remuera,26/07/1987
132,William,Rodriguez,william.rodriguez@biltongbites.co.nz,027-459-2316,4 Moore Drive Manukau,27/08/1973
133,Lucas,Anderson,lucas.anderson@biltongbites.co.nz,027-106-5193,53 Brown Place Remuera,19/04/1975
134,Benjamin,Rodriguez,benjamin.rodriguez@biltongbites.co.nz,027-772-4881,97 Davis Road Karori,10/08/1971
135,Mia,Rodriguez,mia.rodriguez@biltongbites.co.nz,027-625-5232,45 Hernandez Street Ponsonby,25/08/1994
136,Henry,Jones,henry.jones@biltongbites.co.nz,027-225-7033,229 Taylor Crescent Ponsonby,15/11/1997
137,Oliver,Williams,oliver.williams@biltongbites.co.nz,027-520-2622,73 Thomas Drive Riccarton,17/11/1979
138,Charlotte,Taylor,charlotte.taylor@biltongbites.co.nz,027-556-7816,184 Taylor Street Papatoetoe,09/04/1986
139,Olivia,Williams,olivia.williams@biltongbites.co.nz,027-348-5973,119 Moore Avenue Karori,03/03/1974
140,Charlotte,Jones,charlotte.jones@biltongbites.co.nz,027-154-6094,56 Smith Place Newmarket,08/02/1984
141,Charlotte,Garcia,charlotte.garcia@biltongbites.co.nz,027-304-4327,164 Jackson Road Grey Lynn,10/09/2000
142,Olivia,Taylor,olivia.taylor@biltongbites.co.nz,027-637-4556,90 Jackson Road Newmarket,10/12/1996
143,Noah,Miller,noah.miller@biltongbites.co.nz,027-429-6797,12 Taylor Court Karori,16/10/2007
144,Benjamin,Rodriguez,benjamin.rodriguez@biltongbites.co.nz,027-384-5435,250 Williams Place Grey Lynn,05/07/1961
145,Harper,Garcia,harper.garcia@biltongbites.co.nz,027-849-9487,1 Miller Street Manukau,10/11/1969
146,Evelyn,Moore,evelyn.moore@biltongbites.co.nz,027-748-8303,204 Johnson Court Manukau,04/05/1998
147,Evelyn,Davis,evelyn.davis@biltongbites.co.nz,027-612-2649,184 Martinez Avenue Henderson,07/11/1969
148,Harper,Davis,harper.davis@biltongbites.co.nz,027-126-3455,48 Martin Crescent Henderson,23/11/1976
149,Elijah,Lopez,elijah.lopez@biltongbites.co.nz,027-268-7897,181 Davis Place Te Aro,28/05/1962
150,Isabella,Martin,isabella.martin@biltongbites.co.nz,027-186-3968,15 Hernandez Drive Manukau,21/10/1974
151,Henry,Smith,henry.smith@biltongbites.co.nz,027-994-5923,125 Taylor Street Riccarton,16/02/1964
152,Olivia,Gonzalez,olivia.gonzalez@biltongbites.co.nz,027-448-2906,172 Moore Road Karori,08/02/2003
153,Sophia,Williams,sophia.williams@biltongbites.co.nz,027-334-7104,38 Garcia Place Henderson,13/01/1983
154,Amelia,Miller,amelia.miller@biltongbites.co.nz,027-921-1261,56 Williams Drive Papatoetoe,07/04/2005
155,Isabella,Anderson,isabella.anderson@biltongbites.co.nz,027-580-9781,92 Rodriguez Drive Te Aro,08/10/2005
156,Liam,Brown,liam.brown@biltongbites.co.nz,027-202-2137,159 Thomas Road Albany,25/01/1993
157,Mia,Miller,mia.miller@biltongbites.co.nz,027-855-8707,93 Jackson Avenue Manukau,01/01/1972
158,Lucas,Gonzalez,lucas.gonzalez@biltongbites.co.nz,027-197-1889,136 Rodriguez Road Albany,28/10/1978
159,James,Williams,james.williams@biltongbites.co.nz,027-375-6729,82 Brown Drive Remuera,05/07/1990
160,Olivia,Johnson,olivia.johnson@biltongbites.co.nz,027-563-4220,196 Smith Crescent Ponsonby,13/09/1961
161,Henry,Moore,henry.moore@biltongbites.co.nz,027-725-1633,111 Smith Court Mount Eden,03/05/1982
162,Isabella,Taylor,isabella.taylor@biltongbites.co.nz,027-296-2214,101 Garcia Place Albany,10/11/2000
163,Amelia,Lopez,amelia.lopez@biltongbites.co.nz,027-341-6176,217 Hernandez Crescent Newmarket,15/10/1990
164,Lucas,Moore,lucas.moore@biltongbites.co.nz,027-528-6818,238 Brown Avenue Grey Lynn,21/12/1962
165,Noah,Hernandez,noah.hernandez@biltongbites.co.nz,027-501-2654,102 Wilson Street Karori,01/11/1992
166,Benjamin,Brown,benjamin.brown@biltongbites.co.nz,027-758-4647,69 Rodriguez Place Ponsonby,08/05/1986
167,Charlotte,Garcia,charlotte.garcia@biltongbites.co.nz,027-509-2955,228 Johnson Street Riccarton,02/08/1999
168,Alexander,Garcia,alexander.garcia@biltongbites.co.nz,027-573-3004,112 Smith Street Ponsonby,08/12/1980
169,Olivia,Hernandez,olivia.hernandez@biltongbites.co.nz,027-149-1182,100 Hernandez Crescent Grey Lynn,30/03/1974
170,Elijah,Wilson,elijah.wilson@biltongbites.co.nz,027-406-7181,79 Wilson Drive Manukau,03/07/1963
171,Elijah,Anderson,elijah.anderson@biltongbites.co.nz,027-548-2108,156 Gonzalez Crescent Riccarton,06/04/1976
172,Sophia,Johnson,sophia.johnson@biltongbites.co.nz,027-332-5683,190 Johnson Road Riccarton,31/08/1974
173,Olivia,Gonzalez,olivia.gonzalez@biltongbites.co.nz,027-108-3850,222 Moore Place Newmarket,29/10/1992
174,James,Rodriguez,james.rodriguez@biltongbites.co.nz,027-911-6732,190 Davis Court Albany,24/11/1987
175,Alexander,Smith,alexander.smith@biltongbites.co.nz,027-721-1501,15 Johnson Avenue Albany,12/07/2004
176,Henry,Johnson,henry.johnson@biltongbites.co.nz,027-216-2076,118 Martinez Road Te Aro,18/07/1985
177,Evelyn,Miller,evelyn.miller@biltongbites.co.nz,027-775-1290,130 Williams Crescent Manukau,31/03/1981
178,Liam,Gonzalez,liam.gonzalez@biltongbites.co.nz,027-564-6430,54 Hernandez Court Karori,25/06/1967
179,Emma,Gonzalez,emma.gonzalez@biltongbites.co.nz,027-531-2523,137 Thomas Road Remuera,09/01/1976
180,Olivia,Anderson,olivia.anderson@biltongbites.co.nz,027-389-7654,159 Anderson Court Karori,23/11/1961
181,Amelia,Smith,amelia.smith@biltongbites.co.nz,027-498-6789,8 Gonzalez Road Karori,24/09/1985
182,Oliver,Johnson,oliver.johnson@biltongbites.co.nz,027-586-4222,180 Davis Road Riccarton,25/12/2007
183,Isabella,Williams,isabella.williams@biltongbites.co.nz,027-488-4854,233 Martinez Place Newmarket,11/08/1971
184,William,Lopez,william.lopez@biltongbites.co.nz,027-849-2135,216 Gonzalez Avenue Karori,08/01/1990
185,Harper,Brown,harper.brown@biltongbites.co.nz,027-714-3777,236 Smith Street Grey Lynn,11/10/1989
186,Harper,Jones,harper.jones@biltongbites.co.nz,027-925-1971,10 Martinez Drive Riccarton,03/07/1962
187,Lucas,Rodriguez,lucas.rodriguez@biltongbites.co.nz,027-637-8436,72 Lopez Court Grey Lynn,25/11/1994
188,Mia,Moore,mia.moore@biltongbites.co.nz,027-841-5375,162 Wilson Place Riccarton,07/12/2001
189,Liam,Gonzalez,liam.gonzalez@biltongbites.co.nz,027-749-1427,202 Rodriguez Avenue Newmarket,04/04/1978
190,James,Johnson,james.johnson@biltongbites.co.nz,027-776-3242,24 Jackson Place Manukau,11/09/1983
191,Lucas,Gonzalez,lucas.gonzalez@biltongbites.co.nz,027-172-2253,25 Johnson Court Remuera,24/02/2008
192,Alexander,Miller,alexander.miller@biltongbites.co.nz,027-229-5893,114 Williams Place Riccarton,09/05/1976
193,Evelyn,Anderson,evelyn.anderson@biltongbites.co.nz,027-903-5903,158 Thomas Avenue Albany,19/05/2003
194,Mia,Brown,mia.brown@biltongbites.co.nz,027-294-9891,41 Moore Avenue Manukau,27/06/1965
195,Ava,Gonzalez,ava.gonzalez@biltongbites.co.nz,027-322-7660,153 Smith Crescent Grey Lynn,11/05/2007
196,Oliver,Jackson,oliver.jackson@biltongbites.co.nz,027-280-1669,248 Garcia Drive Riccarton,17/07/1972
197,Noah,Taylor,noah.taylor@biltongbites.co.nz,027-576-4769,241 Jackson Crescent Remuera,27/04/1976
198,Amelia,Brown,amelia.brown@biltongbites.co.nz,027-979-5607,46 Rodriguez Place Riccarton,26/06/1988
199,Mia,Rodriguez,mia.rodriguez@biltongbites.co.nz,027-666-5322,95 Lopez Place Grey Lynn,03/01/1994
200,Charlotte,Jackson,charlotte.jackson@biltongbites.co.nz,027-128-3202,9 Moore Place Manukau,28/03/1964
201,Noah,Rodriguez,noah.rodriguez@biltongbites.co.nz,027-861-6552,225 Lopez Drive Remuera,09/07/1978
202,Noah,Moore,noah.moore@biltongbites.co.nz,027-281-6986,188 Moore Drive Te Aro,14/01/1962
203,Olivia,Jackson,olivia.jackson@biltongbites.co.nz,027-420-7160,173 Brown Crescent Te Aro,03/07/1972
204,Alexander,Smith,alexander.smith@biltongbites.co.nz,027-320-1914,109 Anderson Crescent Papatoetoe,18/11/1969
205,Harper,Davis,harper.davis@biltongbites.co.nz,027-829-5772,206 Jackson Court Karori,09/08/1991
206,Benjamin,Williams,benjamin.williams@biltongbites.co.nz,027-397-9913,205 Garcia Court Remuera,23/05/1971
207,Charlotte,Gonzalez,charlotte.gonzalez@biltongbites.co.nz,027-321-3801,112 Lopez Place Manukau,14/03/1971
208,Noah,Rodriguez,noah.rodriguez@biltongbites.co.nz,027-500-8339,170 Williams Place Manukau,27/08/1970
209,Harper,Rodriguez,harper.rodriguez@biltongbites.co.nz,027-387-4219,107 Williams Drive Grey Lynn,12/11/1985
210,Evelyn,Hernandez,evelyn.hernandez@biltongbites.co.nz,027-472-6472,21 Davis Court Riccarton,30/01/1963
211,Elijah,Johnson,elijah.johnson@biltongbites.co.nz,027-853-3443,212 Martinez Crescent Henderson,14/10/1999
212,Lucas,Taylor,lucas.taylor@biltongbites.co.nz,027-210-2884,68 Williams Street Te Aro,28/01/1983
213,Henry,Garcia,henry.garcia@biltongbites.co.nz,027-406-5769,152 Williams Court Henderson,09/06/1971
214,Charlotte,Smith,charlotte.smith@biltongbites.co.nz,027-924-1488,53 Brown Street Karori,21/03/1967
215,Alexander,Rodriguez,alexander.rodriguez@biltongbites.co.nz,027-801-8620,202 Johnson Crescent Karori,28/10/1979
216,Emma,Taylor,emma.taylor@biltongbites.co.nz,027-662-2246,142 Garcia Crescent Mount Eden,19/06/1966
217,Sophia,Thomas,sophia.thomas@biltongbites.co.nz,027-958-5427,104 Smith Place Karori,07/09/2002
218,Mia,Johnson,mia.johnson@biltongbites.co.nz,027-677-6640,88 Jackson Court Newmarket,23/09/1975
219,Lucas,Wilson,lucas.wilson@biltongbites.co.nz,027-765-2593,188 Smith Street Newmarket,26/11/2001
220,William,Hernandez,william.hernandez@biltongbites.co.nz,027-835-7272,171 Miller Crescent Henderson,17/03/2004
221,Emma,Anderson,emma.anderson@biltongbites.co.nz,027-526-8478,30 Moore Street Papatoetoe,29/04/1992
222,Isabella,Anderson,isabella.anderson@biltongbites.co.nz,027-705-7745,181 Martinez Avenue Karori,11/03/1987
223,Olivia,Smith,olivia.smith@biltongbites.co.nz,027-915-6045,19 Taylor Drive Remuera,22/07/1962
224,William,Moore,william.moore@biltongbites.co.nz,027-948-8728,91 Davis Place Manukau,13/05/1999
225,William,Lopez,william.lopez@biltongbites.co.nz,027-853-9077,195 Martinez Crescent Grey Lynn,03/07/1989
226,Mia,Thomas,mia.thomas@biltongbites.co.nz,027-992-5848,87 Wilson Drive Riccarton,11/09/1961
227,James,Jackson,james.jackson@biltongbites.co.nz,027-157-5658,124 Anderson Avenue Mount Eden,09/11/1985
228,Emma,Martin,emma.martin@biltongbites.co.nz,027-448-6085,243 Moore Drive Manukau,15/02/1973
229,Benjamin,Martin,benjamin.martin@biltongbites.co.nz,027-455-2631,110 Thomas Road Remuera,03/09/1964
230,William,Lopez,william.lopez@biltongbites.co.nz,027-206-1992,89 Martin Court Newmarket,28/03/1991
231,Charlotte,Rodriguez,charlotte.rodriguez@biltongbites.co.nz,027-587-2146,242 Moore Drive Albany,17/04/1974
232,Alexander,Gonzalez,alexander.gonzalez@biltongbites.co.nz,027-350-2657,233 Martin Court Mount Eden,17/12/1993
233,Lucas,Wilson,lucas.wilson@biltongbites.co.nz,027-378-5441,216 Taylor Road Papatoetoe,05/08/2003
234,Harper,Garcia,harper.garcia@biltongbites.co.nz,027-237-5864,162 Jackson Drive Remuera,11/04/1973
235,Alexander,Moore,alexander.moore@biltongbites.co.nz,027-571-9093,201 Rodriguez Drive Albany,08/10/1979
236,Evelyn,Lopez,evelyn.lopez@biltongbites.co.nz,027-802-1755,111 Anderson Street Riccarton,28/12/1966
237,Isabella,Brown,isabella.brown@biltongbites.co.nz,027-910-2184,194 Moore Avenue Grey Lynn,04/06/2007
238,Liam,Anderson,liam.anderson@biltongbites.co.nz,027-404-4796,206 Moore Place Albany,14/10/1989
239,James,Garcia,james.garcia@biltongbites.co.nz,027-227-3218,98 Jackson Drive Remuera,27/06/2001
